age,workclass,fnlwgt,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country.grouped,education.grouped
43,Self-emp-not-inc,396758,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1887,70,United States,Higher Education
46,Federal-gov,332727,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United States,Higher Education
65,Private,129426,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United States,Higher Education
30,Private,186269,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United States,Higher Education
39,Private,262841,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United States,High School
39,Federal-gov,209609,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United States,High School
48,Local-gov,115497,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United States,Higher Education
29,State-gov,198493,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United States,Higher Education
65,Private,107620,7,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,8,United States,Middle
42,Private,106900,11,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United States,Higher Education
39,Private,257942,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United States,Higher Education
47,Private,606752,14,Divorced,Tech-support,Not-in-family,White,Male,0,0,40,United States,Postgraduate
38,Local-gov,210991,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1740,40,United States,Higher Education
34,Private,173495,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United States,Higher Education
41,Self-emp-not-inc,111772,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1887,40,United States,Higher Education
60,Private,93997,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,45,United States,Higher Education
35,State-gov,140752,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United States,High School
55,Private,320835,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United States,Higher Education
54,Private,165278,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United States,Higher Education
25,Private,97789,13,Never-married,Sales,Own-child,White,Male,0,0,50,United States,Higher Education
49,Private,187454,9,Married-civ-spouse,Sales,Husband,White,Male,99999,0,65,United States,High School
42,Private,196029,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,48,United States,Higher Education
54,Private,37289,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,55,United States,Postgraduate
22,Private,162343,10,Never-married,Other-service,Other-relative,Black,Male,0,0,20,United States,Higher Education
31,Private,183000,15,Never-married,Tech-support,Not-in-family,White,Male,0,0,55,United States,Higher Education
21,Private,296158,9,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United States,High School
45,Local-gov,162187,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United States,High School
40,Private,197462,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United States,Higher Education
40,Self-emp-inc,225165,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United States,High School
21,Private,27162,10,Never-married,Other-service,Own-child,White,Female,0,0,16,United States,Higher Education
35,Private,241126,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United States,Postgraduate
45,Self-emp-inc,34091,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,38,United States,Higher Education
55,Private,125000,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United States,High School
46,Private,248059,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3464,0,40,United States,High School
37,Private,176073,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United States,Higher Education
58,Private,222247,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1887,40,United States,Middle
30,Private,231826,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United States,Higher Education
36,Self-emp-not-inc,20333,9,Married-civ-spouse,Sales,Wife,White,Female,7688,0,40,United States,High School
36,Self-emp-not-inc,34180,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,70,United States,High School
34,Private,182274,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1887,40,United States,Higher Education
51,Private,219599,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United States,High School
24,Local-gov,289886,7,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,0,0,45,United States,Middle
64,Self-emp-inc,272531,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United States,High School
48,Federal-gov,435503,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United States,Postgraduate
25,Private,176729,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United States,Higher Education
58,Local-gov,44246,5,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United States,Middle
37,Private,202950,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United States,High School
36,Private,130926,13,Divorced,Adm-clerical,Not-in-family,White,Female,3674,0,40,United States,Higher Education
24,Private,321666,12,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,20,United States,Higher Education
56,Private,290641,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United States,Higher Education
32,Private,205152,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,40,United States,High School
64,Self-emp-not-inc,103643,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,15,United States,High School
39,Private,286789,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United States,Higher Education
60,Self-emp-inc,210827,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,United States,Higher Education
39,Self-emp-inc,163237,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,65,United States,Higher Education
48,Private,55237,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United States,Higher Education
46,Private,270565,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United States,Higher Education
45,Private,202812,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United States,Higher Education
31,Private,62932,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United States,High School
32,Private,208291,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United States,High School
30,Private,117963,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United States,Higher Education
31,Private,120857,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,18,United States,High School
38,Self-emp-not-inc,127772,9,Divorced,Farming-fishing,Own-child,White,Male,0,0,50,United States,High School
54,Self-emp-not-inc,46704,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United States,High School
33,Self-emp-inc,374905,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United States,High School
40,Private,53835,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United States,Higher Education
48,Private,121424,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United States,Higher Education
24,Private,235071,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United States,Middle
45,Private,81534,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,84,Asia,High School
60,Private,120067,5,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,United States,Middle
63,Self-emp-not-inc,27653,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,35,United States,High School
51,Private,138847,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United States,Higher Education
26,Private,160300,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United States,High School
39,Private,80638,10,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,84,United States,Higher Education
17,Private,114420,7,Never-married,Sales,Own-child,White,Female,0,0,30,United States,Middle
36,Private,156667,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,50,United States,Higher Education
39,Private,216256,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,Europe,Higher Education
39,Local-gov,119421,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,42,United States,Higher Education
63,Private,361631,14,Separated,Prof-specialty,Not-in-family,White,Female,0,0,40,United States,Postgraduate
49,Private,153536,10,Divorced,Prof-specialty,Not-in-family,White,Male,14084,0,44,United States,Higher Education
35,Self-emp-not-inc,181705,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,40,United States,High School
43,Self-emp-not-inc,170721,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,20,United States,Higher Education
30,Private,315640,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,1977,40,Asia,Postgraduate
58,Self-emp-not-inc,450544,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United States,Higher Education
34,Private,188736,9,Married-civ-spouse,Machine-op-inspct,Other-relative,Other,Female,0,0,20,SudAmerica,High School
34,Private,48014,13,Separated,Exec-managerial,Not-in-family,White,Female,0,0,35,United States,Higher Education
59,Private,231377,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1848,45,United States,Higher Education
64,Self-emp-inc,161325,12,Married-civ-spouse,Sales,Husband,White,Male,0,1887,50,United States,Higher Education
36,Private,171676,13,Never-married,Sales,Not-in-family,White,Female,0,1741,40,United States,Higher Education
17,Private,25051,6,Never-married,Other-service,Own-child,White,Male,0,0,16,United States,Middle
40,Private,193882,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United States,High School
33,Private,252168,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United States,High School
23,Private,133985,6,Never-married,Craft-repair,Own-child,Black,Female,0,0,40,United States,Middle
36,Self-emp-not-inc,367020,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United States,Middle
47,Federal-gov,55377,13,Never-married,Adm-clerical,Unmarried,Black,Male,0,0,40,United States,Higher Education
42,State-gov,293791,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United States,Higher Education
50,Private,192982,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,1848,40,United States,High School
58,State-gov,400285,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United States,High School
51,Private,84278,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United States,Higher Education
42,Private,344624,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1902,50,United States,High School
43,Private,240698,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United States,Higher Education
30,Self-emp-inc,68330,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United States,Higher Education
35,Private,361888,10,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,40,United States,Higher Education
41,Self-emp-inc,194636,13,Married-civ-spouse,Sales,Husband,White,Male,99999,0,65,United States,Higher Education
49,Self-emp-not-inc,126268,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United States,Higher Education
32,Self-emp-not-inc,182691,9,Never-married,Other-service,Unmarried,White,Male,0,0,60,United States,High School
48,Private,185041,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1672,55,United States,Middle
59,Private,108496,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United States,Postgraduate
18,Private,152545,9,Never-married,Other-service,Own-child,White,Female,0,0,8,United States,High School
35,Private,187329,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United States,Higher Education
44,Private,62258,7,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United States,Middle
44,Private,408531,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United States,High School
28,Self-emp-inc,32922,11,Never-married,Sales,Not-in-family,White,Male,0,0,60,United States,Higher Education
50,Private,88926,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,5178,0,40,United States,High School
44,Private,89172,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United States,Higher Education
37,Private,51264,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,99,Europe,Postgraduate
51,Private,166934,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United States,High School
43,Local-gov,143828,14,Divorced,Prof-specialty,Unmarried,Black,Female,9562,0,40,United States,Postgraduate
36,Private,447346,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United States,High School
29,Private,165360,11,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United States,Higher Education
32,Private,207172,10,Never-married,Sales,Other-relative,White,Female,0,0,40,United States,Higher Education
40,Private,271393,12,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United States,Higher Education
43,Private,191547,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,Mexico,High School
44,Self-emp-not-inc,120539,13,Never-married,Sales,Not-in-family,White,Male,0,0,50,United States,Higher Education
72,Self-emp-not-inc,203289,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United States,Higher Education
36,Private,261241,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United States,High School
55,Federal-gov,238192,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,1887,40,United States,High School
57,Private,73411,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United States,Higher Education
54,Private,329733,9,Never-married,Exec-managerial,Unmarried,White,Male,0,0,40,United States,High School
65,Private,115890,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20,United States,Higher Education
42,Private,93770,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United States,High School
43,Private,34007,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United States,High School
70,Self-emp-not-inc,143833,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,40,United States,Higher Education
52,Private,222107,10,Divorced,Sales,Unmarried,White,Female,0,0,50,United States,Higher Education
26,Private,247025,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United States,Higher Education
35,Federal-gov,250504,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,60,United States,High School
20,State-gov,30796,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,10,United States,Higher Education
38,Private,237608,13,Never-married,Sales,Not-in-family,White,Female,0,2444,45,United States,Higher Education
62,Private,35783,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United States,Higher Education
30,Federal-gov,76313,9,Married-civ-spouse,Armed-Forces,Other-relative,Amer-Indian-Eskimo,Male,0,0,48,United States,High School
67,Self-emp-not-inc,286372,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United States,Higher Education
44,State-gov,174325,14,Married-civ-spouse,Prof-specialty,Husband,Black,Male,7688,0,40,United States,Postgraduate
32,State-gov,438711,10,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,United States,Higher Education
47,Private,168283,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United States,Higher Education
39,Private,481060,9,Divorced,Sales,Unmarried,White,Female,0,0,40,United States,High School
47,Self-emp-not-inc,119199,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United States,Higher Education
37,Self-emp-inc,30529,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,50,United States,Higher Education
45,Private,102308,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United States,Postgraduate
30,Private,182771,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,United States,Postgraduate
42,Self-emp-not-inc,198692,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United States,Higher Education
43,Private,170730,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United States,Higher Education
36,Private,237943,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,45,United States,Higher Education
46,Private,205100,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United States,Higher Education
19,Federal-gov,30559,9,Married-AF-spouse,Sales,Wife,White,Female,0,0,40,United States,High School
31,Private,213643,9,Married-civ-spouse,Sales,Husband,White,Male,3908,0,40,United States,High School
32,Self-emp-not-inc,189461,9,Never-married,Other-service,Not-in-family,White,Female,0,0,60,United States,High School
43,Federal-gov,95902,12,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,United States,Higher Education
27,Private,29807,9,Separated,Handlers-cleaners,Unmarried,White,Female,0,0,40,Asia,High School
48,Private,80430,7,Never-married,Other-service,Not-in-family,White,Female,0,0,30,United States,Middle
34,Private,35644,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United States,Higher Education
56,Self-emp-not-inc,335605,9,Married-civ-spouse,Other-service,Husband,White,Male,0,1887,50,Canada,High School
24,Self-emp-not-inc,322931,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1902,40,United States,Middle
25,Private,102476,13,Never-married,Farming-fishing,Own-child,White,Male,27828,0,50,United States,Higher Education
33,Private,198452,12,Divorced,Sales,Not-in-family,White,Female,0,0,45,United States,Higher Education
53,Private,201127,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United States,Postgraduate
26,Local-gov,150553,13,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,50,United States,Higher Education
25,Private,114150,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40,United States,High School
42,Federal-gov,25240,11,Divorced,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United States,Higher Education
24,Private,38455,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United States,Higher Education
36,Private,191161,9,Never-married,Sales,Not-in-family,White,Male,0,0,50,United States,High School
23,Private,520759,9,Never-married,Other-service,Not-in-family,Black,Male,0,0,30,United States,High School
38,Self-emp-not-inc,239045,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United States,Postgraduate
30,Private,124187,9,Never-married,Farming-fishing,Own-child,Black,Male,0,0,60,United States,High School
56,Private,53366,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United States,High School
57,Private,112840,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United States,Higher Education
52,Self-emp-not-inc,129311,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,95,United States,Higher Education
37,Private,189922,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United States,Higher Education
50,Private,33304,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United States,High School
38,Federal-gov,115433,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,7688,0,33,United States,Higher Education
31,Private,44464,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,1564,60,United States,Higher Education
40,Federal-gov,178866,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,20,United States,High School
37,Self-emp-not-inc,143368,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United States,Postgraduate
32,Private,34437,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United States,High School
26,Self-emp-not-inc,221626,9,Married-civ-spouse,Other-service,Wife,White,Female,0,1579,20,United States,High School
51,Private,183390,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United States,High School
20,Private,374116,9,Never-married,Prof-specialty,Other-relative,White,Female,0,0,40,United States,High School
39,Local-gov,177907,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1887,40,United States,High School
26,Private,291968,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United States,Higher Education
26,Private,152240,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United States,Higher Education
28,Private,293398,9,Separated,Sales,Unmarried,Black,Female,0,0,40,United States,High School
30,Private,391114,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,60,United States,High School
31,Private,342019,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United States,Higher Education
42,Private,171424,13,Married-civ-spouse,Tech-support,Husband,White,Male,7298,0,45,United States,Higher Education
34,State-gov,287908,9,Never-married,Other-service,Own-child,Black,Male,0,0,42,United States,High School
49,Local-gov,321851,12,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,30,United States,Higher Education
50,Private,139703,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United States,Higher Education
36,Private,75826,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United States,Higher Education
47,Private,192053,9,Divorced,Transport-moving,Not-in-family,White,Male,0,1590,40,United States,High School
41,Private,214242,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United States,Higher Education
38,Private,234901,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United States,Higher Education
27,Private,332187,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,65,United States,Higher Education
34,State-gov,278378,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United States,High School
23,Private,149704,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United States,High School
40,Private,286750,7,Separated,Machine-op-inspct,Not-in-family,Black,Male,0,0,36,United States,Middle
22,Private,336215,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,25,United States,Higher Education
42,State-gov,121265,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United States,Postgraduate
29,Private,53434,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United States,Higher Education
34,Private,223678,9,Never-married,Other-service,Unmarried,Amer-Indian-Eskimo,Female,0,0,32,United States,High School
27,Private,56870,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United States,High School
31,Private,54318,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United States,Higher Education
35,Private,152909,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,45,United States,Higher Education
37,Self-emp-inc,291518,13,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,55,United States,Higher Education
50,Local-gov,308764,9,Widowed,Transport-moving,Unmarried,White,Female,0,0,40,United States,High School
31,Private,446358,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,Higher Education
61,Local-gov,167347,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,35,United States,Higher Education
56,Private,159724,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United States,Higher Education
22,Private,279041,10,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,10,United States,Higher Education
49,Self-emp-inc,201080,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,55,United States,Higher Education
46,Self-emp-not-inc,131091,13,Married-civ-spouse,Sales,Husband,White,Male,0,1902,40,United States,Higher Education
37,Private,203828,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United States,Middle
27,Local-gov,255237,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United States,Higher Education
55,Private,349910,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,United States,High School
22,Private,233624,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,43,United States,High School
28,Private,189346,9,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,40,United States,High School
39,Private,147258,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United States,Middle
21,Private,235442,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United States,High School
21,Private,126314,10,Never-married,Other-service,Own-child,White,Male,0,0,10,United States,Higher Education
29,Private,196243,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United States,High School
32,Private,90705,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United States,High School
54,Private,206964,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United States,Higher Education
59,Private,126668,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,5178,0,50,United States,Higher Education
26,Private,416577,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,45,United States,High School
48,Private,197683,10,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,United States,Higher Education
19,Private,167140,10,Never-married,Other-service,Own-child,White,Male,0,1602,24,United States,Higher Education
36,Private,208358,15,Divorced,Prof-specialty,Not-in-family,White,Male,99999,0,45,United States,Higher Education
38,Self-emp-inc,189679,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United States,Higher Education
36,Private,107302,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United States,Postgraduate
40,Private,168071,9,Never-married,Craft-repair,Own-child,White,Male,0,0,28,United States,High School
37,Private,126954,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United States,Higher Education
38,Private,143123,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United States,Higher Education
54,Self-emp-not-inc,105010,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United States,Higher Education
27,Private,96226,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,United States,High School
27,Private,210313,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,SudAmerica,High School
51,Private,210736,9,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,40,United States,High School
40,Local-gov,153031,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,35,United States,Postgraduate
32,Private,80058,7,Divorced,Sales,Not-in-family,White,Male,0,0,43,United States,Middle
48,Self-emp-not-inc,181758,16,Never-married,Prof-specialty,Unmarried,White,Female,0,0,60,United States,Postgraduate
33,Private,104525,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United States,High School
33,Private,405913,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,SudAmerica,Higher Education
47,Private,427055,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,Mexico,Higher Education
20,Private,305446,9,Never-married,Other-service,Own-child,White,Male,0,0,30,United States,High School
41,Private,374764,13,Widowed,Exec-managerial,Unmarried,White,Male,0,0,20,United States,Higher Education
63,Private,76860,13,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,0,0,40,Asia,Higher Education
60,Private,177665,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United States,High School
22,Private,124971,13,Never-married,Sales,Not-in-family,White,Male,0,0,40,United States,Higher Education
40,Private,216116,5,Never-married,Machine-op-inspct,Unmarried,Black,Female,0,0,40,SudAmerica,Middle
49,Private,160647,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United States,Higher Education
61,Self-emp-inc,84409,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United States,High School
40,Private,178983,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,30,United States,High School
75,Private,200068,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United States,Higher Education
40,State-gov,91949,16,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,40,United States,Postgraduate
39,Private,188540,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,45,United States,High School
33,Private,150570,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,3103,0,43,United States,Higher Education
30,Local-gov,226443,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,45,United States,Postgraduate
55,State-gov,120781,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Asia,Postgraduate
40,Private,163434,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United States,Higher Education
50,Self-emp-inc,195322,16,Separated,Prof-specialty,Not-in-family,White,Male,0,0,40,United States,Postgraduate
34,Private,115066,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,42,United States,Higher Education
39,Private,365739,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United States,Higher Education
